"Time [s]","Event Name","Chamber","Event Text","1A: O2 flux per V [pmol/(s*mL)]","1B: O2 flux per V [pmol/(s*mL)]"
324.00,"","","",0.5708,-0.2113
326.00,"","","",0.7130,-0.0623
328.00,"","","",0.8553,-0.0623
330.00,"","","",0.9974,-0.2110
332.00,"","","",1.1395,-0.2109
334.00,"","","",1.2816,-0.2108
336.00,"","","",1.2817,-0.2107
338.00,"","","",1.4241,-0.2106
340.00,"","","",1.5663,-0.2105
342.00,"","","",1.7087,-0.2104
344.00,"","","",1.9931,-0.2103
346.00,"","","",2.1352,-0.2102
348.00,"","","",2.2774,-0.2102
350.00,"","","",2.4198,-0.2102
352.00,"","","",2.5621,-0.2100
354.00,"","","",2.7042,-0.2099
356.00,"","","",2.8463,-0.2099
358.00,"","","",2.9886,-0.2098
360.00,"","","",3.1310,-0.2095
362.00,"","","",3.2732,-0.2093
364.00,"","","",3.2732,-0.2091
366.00,"","","",3.2732,-0.0601
368.00,"","","",3.2732,-0.0600
370.00,"","","",3.2733,-0.0603
372.00,"","","",3.2736,-0.2093
374.00,"","","",3.1317,-0.2094
376.00,"","","",3.1317,-0.2092
378.00,"","","",3.1318,-0.2088
380.00,"","","",3.1319,-0.2087
382.00,"","","",3.1320,-0.2087
384.00,"","","",3.1321,-0.2085
386.00,"","","",3.1322,-0.0596
388.00,"","","",3.1323,-0.0596
390.00,"","","",3.1323,-0.0596
392.00,"","","",3.1324,-0.0596
394.00,"","","",3.1326,-0.0597
396.00,"","","",3.1327,-0.0596
398.00,"","","",3.1329,-0.2082
400.00,"","","",3.1329,-0.2081
402.00,"0Imt","Both","",3.1329,-0.2081
404.00,"","","",3.1331,-0.2083
406.00,"","","",3.1331,-0.2077
408.00,"","","",3.2754,-0.2077
410.00,"","","",3.2756,-0.3578
412.00,"","","",3.2758,-0.6576
414.00,"","","",3.1336,-1.1054
416.00,"","","",3.1337,-1.5528
418.00,"","","",3.1338,-1.9997
420.00,"","","",3.1339,-2.4461
422.00,"","","",3.1340,-2.8924
424.00,"","","",3.1340,-3.1902
426.00,"","","",3.1341,-3.6367
428.00,"","","",2.9921,-3.9340
430.00,"","","",2.9921,-4.0824
432.00,"","","",2.9922,-4.3802
434.00,"","","",2.9924,-4.5288
436.00,"","","",2.9926,-4.6773
438.00,"","","",2.9927,-4.8260
440.00,"","","",2.9927,-4.8259
442.00,"","","",2.9927,-4.9744
444.00,"","","",2.9928,-4.9743
446.00,"","","",2.8508,-4.8254
448.00,"","","",2.8510,-4.8251
450.00,"","","",2.8510,-4.6760
452.00,"","","",2.8510,-4.6758
454.00,"","","",2.8512,-4.5268
456.00,"","","",2.7091,-4.3777
458.00,"","","",2.7090,-4.2287
460.00,"","","",2.7093,-3.9309
462.00,"","","",2.7094,-3.7817
464.00,"","","",2.7095,-3.4838
466.00,"","","",2.7096,-3.1860
468.00,"","","",2.5674,-2.7392
470.00,"","","",2.5675,-2.4412
472.00,"","","",2.5675,-2.1435
474.00,"","","",2.5678,-1.8459
476.00,"","","",2.4257,-1.3992
478.00,"","","",2.4258,-0.9523
480.00,"","","",2.4259,-0.6546
482.00,"","","",2.4259,-0.2078
484.00,"","","",2.4260,0.2390
486.00,"","","",2.4261,0.8345
488.00,"","","",2.2841,1.2813
490.00,"","","",2.4264,1.7279
492.00,"","","",2.4264,1.8770
494.00,"","","",2.2844,2.0259
496.00,"","","",2.2845,2.0261
498.00,"","","",2.4267,2.0262
500.00,"","","",2.4268,1.8774
502.00,"","","",2.4269,1.8775
504.00,"","","",2.4270,1.8779
506.00,"","","",2.4271,1.8780
508.00,"","","",2.4271,1.7293
510.00,"","","",2.4272,1.7292
512.00,"","","",2.2852,1.5805
514.00,"","","",2.2852,1.5807
516.00,"","","",2.4275,1.5808
518.00,"","","",2.4277,1.4321
520.00,"","","",2.4277,1.4321
522.00,"","","",2.4279,1.4323
524.00,"","","",2.4281,1.4327
526.00,"","","",2.5704,1.2839
528.00,"","","",2.5705,1.2839
530.00,"","","",2.7127,1.2842
532.00,"","","",2.7127,1.2844
534.00,"","","",2.7129,1.2845
536.00,"","","",2.8552,1.1355
538.00,"","","",2.8552,1.1359
540.00,"","","",2.8552,1.1364
542.00,"","","",2.8553,1.1364
544.00,"","","",2.9976,1.2855
546.00,"","","",2.9975,1.2857
548.00,"","","",2.9974,1.2859
550.00,"","","",2.8552,1.2860
552.00,"","","",2.7131,1.2860
554.00,"","","",2.7133,1.4352
556.00,"","","",2.7135,1.4356
558.00,"","","",2.7135,1.4356
560.00,"","","",2.5715,1.4352
562.00,"","","",2.5716,1.4352
564.00,"","","",2.5718,1.4357
566.00,"","","",2.4295,1.4361
568.00,"","","",2.4294,1.4363
570.00,"","","",2.2873,1.4365
572.00,"","","",2.1454,1.5855
574.00,"","","",2.1455,1.5858
576.00,"","","",2.0036,1.5858
578.00,"","","",2.0038,1.5859
580.00,"","","",2.0039,1.5861
582.00,"","","",2.0041,1.7351
584.00,"","","",2.0043,1.7356
586.00,"","","",2.1465,1.7359
588.00,"","","",2.1465,1.8848
590.00,"","","",2.0044,1.8847
592.00,"","","",2.0046,1.8848
594.00,"","","",2.0046,1.8847
596.00,"","","",2.0046,1.7359
598.00,"","","",2.0049,1.7362
600.00,"","","",2.0050,1.7365
602.00,"","","",2.1472,1.7367
604.00,"","","",2.1470,1.7367
606.00,"","","",2.1470,1.7368
608.00,"","","",2.1471,1.7371
610.00,"","","",2.1472,1.7373
612.00,"","","",2.1473,1.5886
614.00,"","","",2.1474,1.5888
616.00,"","","",2.1474,1.5891
618.00,"","","",2.2898,1.5893
620.00,"","","",2.2900,1.5893
622.00,"","","",2.4321,1.5892
624.00,"","","",2.4323,1.5894
626.00,"","","",2.5746,1.5894
628.00,"","","",2.5746,1.4405
630.00,"","","",2.5746,1.4405
632.00,"","","",2.5747,1.4408
634.00,"","","",2.5748,1.4413
636.00,"","","",2.5750,1.4417
638.00,"","","",2.5750,1.4418
640.00,"","","",2.5750,1.4419
642.00,"","","",2.5752,1.2931
644.00,"","","",2.5753,1.2931
646.00,"","","",2.5754,1.2933
648.00,"","","",2.5754,1.2937
650.00,"","","",2.5757,1.2937
652.00,"","","",2.4335,1.2937
654.00,"","","",2.4335,1.2939
656.00,"","","",2.4337,1.2941
658.00,"","","",2.4340,1.2943
660.00,"","","",2.4341,1.2944
662.00,"","","",2.4340,1.2946
664.00,"","","",2.5762,1.2949
666.00,"","","",2.5763,1.4440
668.00,"","","",2.5763,1.4442
670.00,"","","",2.5762,1.4442
672.00,"","","",2.5763,1.4444
674.00,"","","",2.4342,1.4445
676.00,"","","",2.4344,1.4446
678.00,"","","",2.4346,1.4447
680.00,"","","",2.4345,1.4449
682.00,"","","",2.4343,1.4451
684.00,"","","",2.4344,1.4454
686.00,"","","",2.2924,1.5945
688.00,"","","",2.1505,1.5946
690.00,"","","",2.1507,1.5947
692.00,"","","",2.1508,1.5946
694.00,"","","",2.0087,1.5947
696.00,"","","",2.0087,1.5952
698.00,"","","",2.0088,1.5953
700.00,"","","",1.8668,1.5951
702.00,"","","",1.8670,1.5951
704.00,"","","",1.8671,1.5951
706.00,"","","",1.8670,1.5954
708.00,"","","",1.8671,1.4469
710.00,"","","",1.8671,1.4473
712.00,"","","",1.7249,1.4475
714.00,"","","",1.7251,1.4476
716.00,"","","",1.7253,1.4474
718.00,"","","",1.7255,1.4476
720.00,"","","",1.7254,1.4474
722.00,"","","",1.7255,1.2987
724.00,"","","",1.7255,1.2988
726.00,"","","",1.7255,1.2989
728.00,"","","",1.7257,1.1503
730.00,"","","",1.7258,1.1506
732.00,"","","",1.7260,1.1509
734.00,"","","",1.7260,1.1512
736.00,"","","",1.7261,1.1513
738.00,"","","",1.8682,1.1513
740.00,"","","",1.8683,1.0021
742.00,"","","",1.8683,1.0022
744.00,"","","",1.8685,1.0026
746.00,"","","",1.8685,1.0032
748.00,"","","",1.8686,1.0034
750.00,"","","",1.8686,1.0034
752.00,"","","",1.8686,1.0032
754.00,"","","",1.8687,1.0033
756.00,"","","",1.8688,1.0036
758.00,"","","",1.8688,1.0039
760.00,"","","",1.8689,1.0039
762.00,"","","",1.8691,1.0043
764.00,"","","",1.7271,1.1535
766.00,"","","",1.7273,1.1536
768.00,"","","",1.7272,1.1535
770.00,"","","",1.7271,1.1535
772.00,"","","",1.7271,1.1535
774.00,"","","",1.7272,1.1534
776.00,"","","",1.5851,1.1536
778.00,"","","",1.5853,1.1537
780.00,"","","",1.5855,1.1538
782.00,"","","",1.7277,1.1540
784.00,"","","",1.7279,1.0056
786.00,"","","",1.7280,1.0058
788.00,"","","",1.7281,1.1548
790.00,"","","",1.7280,1.1551
792.00,"","","",1.7280,1.1552
794.00,"","","",1.7281,1.3043
796.00,"","","",1.7281,1.3044
798.00,"","","",1.7283,1.3045
800.00,"","","",1.7285,1.3047
802.00,"","","",1.7286,1.3048
804.00,"","","",1.8708,1.3047
806.00,"","","",1.8709,1.3048
808.00,"","","",1.8709,1.1562
810.00,"","","",1.8710,1.1562
812.00,"","","",1.8711,1.1563
814.00,"","","",2.0133,1.1565
816.00,"","","",2.0134,1.1566
818.00,"","","",2.0136,1.1569
820.00,"","","",2.1558,1.1569
822.00,"","","",2.1557,1.1567
824.00,"","","",2.1556,1.0078
826.00,"","","",2.0135,1.0083
828.00,"","","",2.0136,1.0088
830.00,"","","",2.0137,1.1579
832.00,"","","",2.0137,1.1582
834.00,"","","",1.8716,1.1583
836.00,"","","",1.8718,1.1583
838.00,"","","",1.8720,1.1586
840.00,"","","",1.8721,1.1586
842.00,"","","",1.8720,1.3077
844.00,"","","",1.8720,1.3077
846.00,"","","",1.8720,1.3077
848.00,"","","",1.7300,1.3081
850.00,"","","",1.7298,1.3081
852.00,"","","",1.5878,1.3081
854.00,"","","",1.4458,1.3081
856.00,"","","",1.4459,1.3085
858.00,"","","",1.3039,1.3086
860.00,"","","",1.3041,1.1597
862.00,"","","",1.3041,1.1602
864.00,"","","",1.3042,1.1606
866.00,"","","",1.3043,1.3093
868.00,"","","",1.3044,1.3094
870.00,"","","",1.3044,1.3094
872.00,"","","",1.3045,1.1605
874.00,"","","",1.3045,1.1606
876.00,"","","",1.1624,1.3099
878.00,"","","",1.1626,1.3101
880.00,"","","",1.1626,1.3103
882.00,"","","",1.1627,1.3106
884.00,"","","",1.3049,1.3110
886.00,"","","",1.3049,1.4600
888.00,"","","",1.3049,1.4602
890.00,"","","",1.3050,1.4603
892.00,"","","",1.3051,1.4602
894.00,"","","",1.3051,1.4602
896.00,"","","",1.3051,1.4603
898.00,"","","",1.3053,1.4605
900.00,"","","",1.4475,1.4606
902.00,"","","",1.4476,1.3117
904.00,"","","",1.4477,1.3118
906.00,"","","",1.4479,1.3121
908.00,"","","",1.5903,1.3125
910.00,"","","",1.5904,1.3126
912.00,"","","",1.7325,1.3125
914.00,"","","",1.7324,1.3126
916.00,"","","",1.7325,1.3127
918.00,"","","",1.7325,1.3129
920.00,"","","",1.7324,1.3130
922.00,"","","",1.7325,1.3134
924.00,"","","",1.7327,1.3134
926.00,"","","",1.7328,1.3134
928.00,"","","",1.8750,1.1645
930.00,"","","",1.7328,1.1646
932.00,"","","",1.7330,1.1648
934.00,"","","",1.7330,1.1651
936.00,"","","",1.7331,1.0163
938.00,"","","",1.7333,1.0162
940.00,"","","",1.7334,1.0163
942.00,"","","",1.7334,1.0165
944.00,"","","",1.7334,0.8677
946.00,"","","",1.7335,0.8679
948.00,"","","",1.7335,0.8682
950.00,"","","",1.7335,0.8685
952.00,"","","",1.7335,0.8686
954.00,"","","",1.5915,0.8688
956.00,"","","",1.5916,0.7200
958.00,"","","",1.5916,0.7200
960.00,"","","",1.5919,0.7202
962.00,"","","",1.5919,0.7204
964.00,"","","",1.5918,0.7206
966.00,"","","",1.5918,0.8697
968.00,"","","",1.4497,0.8699
970.00,"","","",1.4499,1.0187
972.00,"","","",1.4501,1.0187
974.00,"","","",1.4502,1.0190
976.00,"","","",1.4503,1.0193
978.00,"","","",1.4504,1.0195
980.00,"","","",1.4505,1.0192
982.00,"","","",1.4505,1.0194
984.00,"","","",1.3083,1.0197
986.00,"","","",1.3083,1.0199
988.00,"","","",1.4506,1.1689
990.00,"","","",1.4507,1.1688
992.00,"","","",1.4507,1.1690
994.00,"","","",1.4506,1.1690
996.00,"","","",1.4508,1.1690
998.00,"","","",1.4508,1.1691
1000.00,"","","",1.4509,1.1695
1002.00,"","","",1.4510,1.1696
1004.00,"","","",1.3090,1.1698
1006.00,"","","",1.4512,1.1700
1008.00,"","","",1.4513,1.1701
1010.00,"","","",1.4514,1.1703
1012.00,"","","",1.4517,1.1703
1014.00,"","","",1.5939,1.1703
1016.00,"","","",1.5940,1.0214
1018.00,"","","",1.7362,1.0214
1020.00,"","","",1.7363,1.0216
1022.00,"","","",1.8785,0.8730
1024.00,"","","",1.8784,0.8733
1026.00,"","","",1.8783,0.8733
1028.00,"","","",1.8783,0.8734
1030.00,"","","",1.8784,0.8738
1032.00,"","","",1.7364,0.8741
1034.00,"","","",1.7365,0.8744
1036.00,"","","",1.7366,0.8744
1038.00,"","","",1.7365,0.8744
1040.00,"","","",1.7366,0.8746
1042.00,"","","",1.7367,0.8747
1044.00,"","","",1.5945,0.8746
1046.00,"","","",1.5947,0.8747
1048.00,"","","",1.5948,0.8748
1050.00,"","","",1.4527,0.8752
1052.00,"","","",1.4527,0.8753
1054.00,"","","",1.4528,1.0243
1056.00,"","","",1.4529,1.0245
1058.00,"","","",1.4531,1.0248
1060.00,"","","",1.4531,1.0248
1062.00,"","","",1.4529,1.0249
1064.00,"","","",1.4529,1.0249
1066.00,"","","",1.3109,1.1740
1068.00,"","","",1.3109,1.1744
1070.00,"","","",1.3110,1.1745
1072.00,"","","",1.1690,1.1744
1074.00,"","","",1.1691,1.1745
1076.00,"","","",1.1691,1.1747
1078.00,"","","",1.0270,1.1749
1080.00,"","","",1.0270,1.1751
1082.00,"","","",0.8849,1.1751
1084.00,"","","",0.8851,1.1752
1086.00,"","","",0.8853,1.1754
1088.00,"","","",0.8854,1.3244
1090.00,"","","",0.8855,1.3246
1092.00,"","","",0.8855,1.3245
1094.00,"","","",0.8856,1.1757
1096.00,"","","",1.0277,1.1758
1098.00,"","","",1.0278,1.1759
1100.00,"","","",1.0278,1.0272
1102.00,"","","",1.1700,1.0274
1104.00,"","","",1.1702,1.0277
1106.00,"","","",1.3124,1.0278
1108.00,"","","",1.3126,1.0279
1110.00,"","","",1.3127,0.8790
1112.00,"","","",1.4549,0.8790
1114.00,"","","",1.4548,0.8791
1116.00,"","","",1.4549,0.8793
1118.00,"","","",1.4549,0.8795
1120.00,"","","",1.4550,0.8798
1122.00,"","","",1.4550,0.8799
1124.00,"","","",1.4551,0.8801
1126.00,"","","",1.4551,0.8799
1128.00,"","","",1.5974,0.7311
1130.00,"","","",1.5974,0.7312
1132.00,"","","",1.5976,0.7314
1134.00,"","","",1.5977,0.7317
1136.00,"","","",1.5977,0.7319
1138.00,"","","",1.7398,0.7322
1140.00,"","","",1.7397,0.7322
1142.00,"","","",1.7398,0.7319
1144.00,"","","",1.5977,0.7322
1146.00,"","","",1.5976,0.7322
1148.00,"","","",1.3124,0.7320
1150.00,"","","",0.8854,0.5834
1152.00,"","","",0.6010,0.5827
1154.00,"","","",0.3172,0.2839
1156.00,"","","",0.0333,0.1344
1158.00,"","","",-0.1086,-0.1637
1160.00,"","","",-0.2505,-0.4619
1162.00,"","","",-0.3924,-0.7595
1164.00,"","","",-0.3919,-1.0567
1166.00,"","","",-0.3915,-1.2051
1168.00,"1P","Both","",-0.2489,-1.3534
1170.00,"","","",0.0359,-1.5016
1172.00,"","","",0.3206,-1.5011
1174.00,"","","",0.6052,-1.5009
1176.00,"","","",0.8899,-1.5005
1178.00,"","","",1.3167,-1.5004
1180.00,"","","",1.7436,-1.5001
1182.00,"","","",2.3125,-1.4997
1184.00,"","","",2.8814,-1.3504
1186.00,"","","",3.4503,-1.2013
1188.00,"","","",4.0192,-1.0524
1190.00,"","","",4.7304,-0.9033
1192.00,"","","",5.4415,-0.7539
1194.00,"","","",6.1526,-0.6046
1196.00,"","","",7.0058,-0.4554
1198.00,"","","",7.7169,-0.1575
1200.00,"","","",8.5702,-0.0083
1202.00,"","","",9.2813,0.2896
1204.00,"","","",10.1344,0.5876
1206.00,"","","",10.8455,0.8856
1208.00,"","","",11.6987,1.1839
1210.00,"","","",12.4095,1.4819
1212.00,"","","",13.1203,1.7799
1214.00,"","","",13.8314,2.0781
1216.00,"","","",14.5425,2.5250
1218.00,"","","",15.2537,2.9718
1220.00,"","","",15.9648,3.2700
1222.00,"","","",16.6759,3.7170
1224.00,"","","",17.2449,4.1637
1226.00,"","","",17.8138,4.4617
1228.00,"","","",18.0983,4.9086
1230.00,"","","",18.2408,5.2066
1232.00,"","","",18.3835,5.5044
1234.00,"","","",18.3841,5.6537
1236.00,"","","",18.5268,5.8031
1238.00,"","","",18.6694,5.8034
1240.00,"","","",18.6698,5.8038
1242.00,"","","",18.6700,5.8043
1244.00,"","","",18.5282,5.8046
1246.00,"","","",18.3858,5.8048
1248.00,"","","",18.2434,5.8051
1250.00,"","","",17.8171,5.6560
1252.00,"","","",17.5329,5.5056
1254.00,"","","",17.1067,5.2071
1256.00,"","","",16.6807,4.9095
1258.00,"","","",16.3969,4.6118
1260.00,"","","",16.1132,4.3143
1262.00,"","","",15.8296,4.0167
1264.00,"","","",15.6879,3.8682
1266.00,"","","",15.4041,3.5709
1268.00,"","","",15.2625,3.2735
1270.00,"","","",15.1209,3.1249
1272.00,"1M","Both","",14.9792,2.8276
1274.00,"","","",14.9796,2.6791
1276.00,"","","",14.9802,2.5304
1278.00,"","","",14.9807,2.3820
1280.00,"","","",14.9813,2.2337
1282.00,"","","",15.1241,2.2344
1284.00,"","","",15.2665,2.0860
1286.00,"","","",15.4092,2.0863
1288.00,"","","",15.5519,2.0866
1290.00,"","","",15.6946,2.0869
1292.00,"","","",15.8372,2.0873
1294.00,"","","",16.1221,2.2364
1296.00,"","","",16.2647,2.2367
1298.00,"","","",16.5494,2.2372
1300.00,"","","",16.8342,2.3866
1302.00,"","","",17.1190,2.5358
1304.00,"","","",17.5458,2.6850
1306.00,"","","",17.8305,2.9829
1308.00,"","","",18.1152,3.1321
1310.00,"","","",18.4000,3.2812
1312.00,"","","",18.8270,3.4303
1314.00,"","","",19.2539,3.5796
1316.00,"","","",19.6807,3.8778
1318.00,"","","",20.1076,4.1761
1320.00,"","","",20.6767,4.4743
1322.00,"","","",21.1036,4.9212
1324.00,"","","",21.5305,5.2191
1326.00,"","","",21.9574,5.5172
1328.00,"","","",22.2422,5.9643
1330.00,"","","",22.3848,6.2624
1332.00,"","","",22.3852,6.5603
1334.00,"","","",22.3857,6.5605
1336.00,"","","",22.3862,6.5605
1338.00,"","","",22.3867,6.5608
1340.00,"","","",22.3872,6.5610
1342.00,"","","",22.3879,6.5616
1344.00,"","","",22.3885,6.5620
1346.00,"","","",22.3890,6.4135
1348.00,"","","",22.3895,6.4138
1350.00,"","","",22.5322,6.4143
1352.00,"","","",22.5328,6.4146
1354.00,"","","",22.5333,6.2662
1356.00,"","","",22.5337,6.2666
1358.00,"","","",22.5341,6.2669
1360.00,"","","",22.5347,6.2673
1362.00,"","","",22.5354,6.2677
1364.00,"","","",22.5358,6.2682
1366.00,"","","",22.5361,6.2690
1368.00,"","","",22.5366,6.4184
1370.00,"","","",22.3950,6.4189
1372.00,"","","",22.3954,6.5682
1374.00,"","","",22.3959,6.5684
1376.00,"","","",22.3965,6.5686
1378.00,"","","",22.3970,6.5690
1380.00,"","","",22.3976,6.7184
1382.00,"","","",22.3982,6.7189
1384.00,"","","",22.3986,6.8681
1386.00,"","","",22.3991,6.8686
1388.00,"","","",22.3995,7.0177
1390.00,"","","",22.2577,7.0178
1392.00,"","","",22.2582,7.0183
1394.00,"","","",22.2588,7.0186
1396.00,"","","",22.1173,7.0188
1398.00,"","","",22.1179,7.0192
1400.00,"","","",22.1184,7.0196
1402.00,"","","",22.1189,7.1690
1404.00,"","","",22.1193,7.1693
1406.00,"","","",22.1197,7.1697
1408.00,"","","",21.9781,7.1700
1410.00,"","","",21.9786,7.3194
1412.00,"","","",21.9792,7.3200
1414.00,"","","",21.9798,7.3204
1416.00,"","","",21.8382,7.3209
1418.00,"","","",21.8387,7.3214
1420.00,"","","",21.8393,7.3217
1422.00,"","","",21.8400,7.3220
1424.00,"","","",21.9827,7.3222
1426.00,"","","",21.9831,7.3228
1428.00,"","","",22.1258,7.3233
1430.00,"","","",22.1263,7.3237
1432.00,"","","",22.2689,7.3242
1434.00,"","","",22.2694,7.3244
1436.00,"","","",22.4120,7.3250
1438.00,"","","",22.4124,7.3256
1440.00,"","","",22.4128,7.3260
1442.00,"","","",22.4134,7.3264
1444.00,"","","",22.4140,7.3270
1446.00,"","","",22.5568,7.3272
1448.00,"","","",22.6998,7.3274
1450.00,"","","",22.7003,7.3275
1452.00,"","","",22.8430,7.3277
1454.00,"","","",22.8435,7.3282
1456.00,"","","",22.9861,7.3288
1458.00,"","","",22.9865,7.3292
1460.00,"","","",23.1290,7.3294
1462.00,"","","",23.1293,7.3299
1464.00,"","","",23.1299,7.3304
1466.00,"","","",23.1305,7.4797
1468.00,"","","",23.1309,7.4799
1470.00,"","","",23.1314,7.3313
1472.00,"","","",22.9897,7.3319
1474.00,"","","",22.9903,7.3325
1476.00,"","","",22.9909,7.3328
1478.00,"","","",22.9914,7.3331
1480.00,"","","",22.8498,7.3335
1482.00,"","","",22.9925,7.3339
